feature,iv,ks
f266,0.7869192480237291,0.19683055398998772
f288,0.740962832507835,0.4088784272121473
f191,0.6307624587239988,0.30262241819447666
f53,0.6182476060370098,0.18862513675695392
f75,0.6182476060370098,0.18862513675695392
f135,0.6182476060370098,0.18862513675695392
f105,0.6182476060370098,0.18862513675695392
f71,0.6142580023515211,0.3079600835460664
f196,0.6070057111134226,0.1415807446208931
f89,0.6022345180767056,0.18502801445479566
f81,0.5821226294210773,0.31846964824453805
f98,0.5802116465073509,0.3045287272486159
f256,0.5516060819791002,0.338991479627358
f223,0.5396262917412514,0.21077147498590987
f234,0.5294229928191774,0.35553492689719196
f255,0.49198344773081143,0.11999801080794348
f118,0.4649148431376287,0.1611411331764082
f239,0.46301685781685264,0.15265391373537118
f243,0.45181812381266534,0.2735636375692073
Pclass,0.43891264869026114,0.3143918045287272
f126,0.4363173008905519,0.10920664390146861
CL,0.4291343641729115,0.2506879289195372
f341,0.4237833516879942,0.21909292842223915
f185,0.4235513375934963,0.2722706627324868
f186,0.4180559632970253,0.10560952159931036
f267,0.405484609340799,0.12977820508570104
Fare,0.3977215306550571,0.27430958459039223
f192,0.38794591953059654,0.22428140436959187
f162,0.3754650525899712,0.13107117992242157
CN,0.3709978079127066,0.2506879289195372
f203,0.3642080672659417,0.0948181546928355
nC,0.3556263114311878,0.25226270596426087
f204,0.3532306613845933,0.13236415475914198
f346,0.34679559281144023,0.14214434903689954
f70,0.33035287194807156,0.23714484633491362
f165,0.3291350396688127,0.087623910088519
f347,0.32429870225132057,0.21652355534926893
f144,0.3196846066568151,0.11668269071378845
f219,0.3134316655296002,0.12157278785266712
family,0.3105315789047192,0.17567881178927824
f44,0.3059362198550373,0.13408812120810265
f200,0.30591923629979234,0.23629943971090406
f101,0.30433798625135366,0.18211053277193912
f182,0.3012751898774956,0.2693697576501012
f142,0.2978648154330648,0.12286576268938765
f327,0.29477218232350283,0.0804296654842025
f224,0.2877795204210622,0.2080363359082319
f102,0.2875826146277757,0.11437854324835062
f211,0.2875826146277757,0.11437854324835062
f315,0.28025868517764024,0.1687332161920233
f292,0.2793302163215081,0.10589132380731359
f174,0.277458923338258,0.13034180950170737
f141,0.2662115646683898,0.12674468719954912
f340,0.26609339197493453,0.22618771342373106
f350,0.2579591905128085,0.23477439246759269
f249,0.2531836183762948,0.09869707920299708
f270,0.24467488744957494,0.06963829857772763
f113,0.24467488744957494,0.06963829857772763
f354,0.22978369223105977,0.20404137519477505
f96,0.216950533542373,0.07013559659185098
f197,0.21426418257234214,0.2247621257832444
f184,0.21383983943636983,0.16654510492988095
f158,0.21233650050301264,0.06244405397341113
f222,0.21163913256686853,0.09059112157278781
f284,0.20651580748217344,0.11623512250107748
f230,0.2025238769136235,0.1175280973377979
f231,0.20183545310777753,0.08919868713324275
f208,0.20183296680526724,0.14290687265855517
f206,0.1984889032167541,0.2007757849020323
f107,0.19651524814860666,0.05884693167125277
f237,0.18974035067077197,0.11522394987236018
f336,0.18710449000325946,0.09667473394556236
f143,0.1866702067093143,0.16508636408845268
f130,0.18362945296660482,0.14698471637436594
f3,0.18362945296660482,0.14698471637436594
f254,0.1788259772369901,0.08200444252892614
f331,0.17609835651635874,0.06373702881013166
f352,0.17609835651635874,0.06373702881013166
f332,0.175173993836154,0.07114676922056828
f172,0.17063026947493157,0.058614859264662034
f127,0.16902464142579157,0.06862712594901033
f48,0.16878288132956704,0.14237642144349028
f314,0.1656312572161975,0.051652687066936265
f309,0.16255037430708863,0.08459039220236719
f168,0.15946194878397993,0.06653847428969273
f356,0.15834951316594228,0.11837350396180746
f257,0.1508385748280175,0.07777740940887845
f264,0.15059873722793957,0.048055564764778014
f93,0.14571973300946348,0.07121307562245138
f241,0.14509710570061812,0.15767662367801616
f151,0.14247812455001888,0.08357921957364989
f351,0.13868312593267515,0.06754964691840992
f304,0.13435789900893885,0.17884494247919636
Age,0.1318639731361937,0.06800684345594525
f213,0.12793163156186646,0.07509200013261275
f123,0.12210685269831402,0.0591287338792561
f137,0.1192397292217336,0.08773994629181447
f265,0.11871611078091397,0.0714948778304545
f276,0.1184252431259495,0.06531180585485519
f13,0.11717522986847967,0.12006431720982658
SibSp,0.1171725728385806,0.09687365315121177
f175,0.11692272546893391,0.09032589596525542
f166,0.11526189697399868,0.07278785266717502
f291,0.11418703156890261,0.1613400523820575
Embarked,0.1112948047079102,0.1459901203461194
f262,0.10776448427517835,0.118041971952392
f355,0.10737247624103326,0.03726419785830315
f111,0.10737247624103326,0.03726419785830315
f307,0.10650127510509536,0.09577959752014054
f214,0.10450891409882052,0.1522892285250141
f268,0.09950512646756882,0.04215429499718204
f183,0.09938895784473227,0.058117561250538685
f286,0.09555372904155199,0.10592447700825514
f69,0.09404013364279035,0.09375725226270593
f92,0.09367311096420139,0.0336670755561449
f4,0.0928235931872779,0.05142061466034542
f171,0.09251138949766698,0.15033318966946263
f225,0.09175105366980961,0.06367072240824856
f138,0.08840526324532699,0.10131618207737958
f157,0.08778268125607573,0.03855717269502368
f238,0.08778268125607573,0.03855717269502368
f189,0.08778268125607573,0.03855717269502368
f41,0.08778268125607573,0.03855717269502368
f188,0.0860534968698122,0.10910718429864408
f26,0.08482776881181674,0.1221529688691444
f33,0.08482776881181674,0.1221529688691444
f62,0.08132727906932354,0.05092331664622218
f49,0.08067258239191365,0.046812319729469865
f164,0.08038453037308428,0.030069953253986648
f312,0.0788413593289094,0.12513675695388388
parch_sibsp_ratio,0.07842887029848844,0.10940556310711802
f353,0.07824531814087915,0.05221629148294271
f248,0.0764200489270222,0.03496005039286543
f308,0.0764200489270222,0.03496005039286543
f293,0.07624312859710429,0.046033219507343404
Parch,0.07271589782356318,0.10040446905148692
f215,0.07240104570850495,0.057769452640652474
f217,0.071374127766444,0.057388190829824715
f8,0.07046342521061995,0.08740841428239898
f180,0.06775350153367571,0.036253025229585845
f202,0.0675522399158285,0.026472830951828397
f233,0.06574187880242718,0.09916122401617877
f198,0.06545055823619392,0.031362928090707176
f17,0.06523385377141509,0.052498093690945824
f274,0.06435204983701787,0.04372907204190557
f289,0.06370811914106755,0.028660942213970753
f220,0.06332050211201708,0.05316115770977692
f337,0.06241160392379341,0.058962967874548244
f295,0.06211092118262376,0.0450220468786261
f40,0.05786861265009467,0.03759572986771864
f21,0.05786861265009467,0.03759572986771864
f39,0.05699311670545236,0.10799655206710201
f20,0.05699311670545236,0.10799655206710201
f63,0.05657048548961849,0.02635679474853303
f67,0.05657048548961849,0.02635679474853303
f190,0.05657048548961849,0.02635679474853303
f42,0.05657048548961849,0.02635679474853303
f344,0.05657048548961849,0.02635679474853303
f294,0.05593605157171243,0.079285880051719
f311,0.055235181803912084,0.03197626230812589
f323,0.055234063215293255,0.022875708649670035
f61,0.054914977606273646,0.027765805788548925
f324,0.054914977606273646,0.027765805788548925
f129,0.054914977606273646,0.027765805788548925
f235,0.05488040734402855,0.06857739614759795
f335,0.05417323053360518,0.052879355501773695
f77,0.05415701416400219,0.10226104830421379
f55,0.05415701416400219,0.10226104830421379
f333,0.05197351468850473,0.10153167788349968
f290,0.051408963157399123,0.04530384908662932
f245,0.05105206132912318,0.1087922288896993
f114,0.05061373714285496,0.08449093259954243
f91,0.04881880181877692,0.2086330935251799
f99,0.04774748828477368,0.03961807512515336
f14,0.047314513529640036,0.032987434936843085
f313,0.04673970459602972,0.05995756390279483
