feature,iv,ks
sexpclass_female3,0.04517402669014399,0.07937877480586708
f127,0.08478762498645491,0.0788994343782955
f242,0.2138577103227312,0.0779407535231521
Pclass_2,0.0360234479432142,0.07770108330936631
f321,0.023722623757348692,0.07659860032595145
f149,0.20703560723294745,0.07611925989837975
f270,0.1167457235405956,0.07463330457290762
f367,0.08418617336432743,0.07309941520467844
f167,0.05252477154422406,0.07295561307640686
f369,0.07788572214219153,0.07214073434953505
f317,0.08076433338212695,0.07127792157990609
f256,0.0736477111931318,0.07089444923784871
f219,0.11435724159059799,0.069504361997891
f282,0.08895693713938235,0.06912088965583352
f191,0.25443236743454645,0.06835394497171887
f343,0.060295856743176134,0.06816220880069035
f208,0.2221229248453791,0.06811427475793308
f206,0.09341240974469468,0.06806634071517592
f202,0.10478373902200722,0.06768286837311865
f314,0.18017816227655764,0.06763493433036138
f177,0.07267480299665523,0.06701179177451821
f319,0.214331127491754,0.06629278113316084
f217,0.09785430721502977,0.06475889176493144
f365,0.06292078968158661,0.06447128750838838
f2,0.004277117859398618,0.06432748538011701
f154,0.004277117859398618,0.06432748538011701
f71,0.004277117859398618,0.06432748538011701
f307,0.004277117859398618,0.06432748538011701
f18,0.004277117859398618,0.06432748538011701
f267,0.13754975503432257,0.06399194708081679
f47,0.12092189577626718,0.06298533218291635
f278,0.020662646125328362,0.06264979388361613
f243,0.018335511517107238,0.06178698111398717
f187,0.11579433765594227,0.061163838558144
f330,0.21326527925011923,0.05958201514715744
f246,0.11383335445624726,0.05924647684785733
f311,0.18375168634941258,0.05900680663407154
f323,0.04463471939124098,0.05867126833477132
f297,0.013790370077533646,0.0577605215223852
f111,0.10572149001356397,0.05752085130859941
f147,0.10572149001356397,0.05752085130859941
f235,0.024674373445462014,0.056705972581727604
f265,0.06911133291439425,0.056370434282427384
f163,0.12947835930379747,0.05426133640111197
f55,0.12947835930379747,0.05426133640111197
f155,0.12947835930379747,0.05426133640111197
f11,0.12947835930379747,0.05426133640111197
f291,0.18662172552879433,0.05373406193078323
f356,0.18662172552879433,0.05373406193078323
f283,0.002866701763365522,0.05282331511839711
f260,0.0028456432247513604,0.052631578947368474
f290,0.1442176974817229,0.05191256830601099
f328,0.062305885118985674,0.051289425750167816
f226,0.1735623497648817,0.05081008532259612
f240,0.00253436967970394,0.049707602339181256
f345,0.002480205916076657,0.049180327868852514
f274,0.002480205916076657,0.049180327868852514
f331,0.07893652212071736,0.04865305339852355
f292,0.10912744560990034,0.04716709807305153
f320,0.012863816774516893,0.0470712299875371
f350,0.06184887993700028,0.04620841721790814
f364,0.06040061173095936,0.04611254913239393
f94,0.12256365075393356,0.04606461508963666
f340,0.010048440487135064,0.045393538491036334
f281,0.061547929169291596,0.045010066148978956
Parch_2,0.023020770743054378,0.044099319336592835
f337,0.048592691703175706,0.04400345125107852
f104,0.0019671300949715676,0.04385964912280704
f234,0.047471216390039074,0.04357204486626409
f126,0.11203593454422388,0.043140638481449556
f79,0.03221432146717085,0.04290096826766365
f60,0.04534318086628034,0.042181957626306166
